NAME,AGE_GROUP,CERT_GBN
1,3,3
2,3,3
3,2,2
4,3,3
5,3,3
6,1,1
7,3,3
8,3,3
9,2,2
10,1,1
11,1,1
12,3,3
13,3,3
14,0,0
15,3,3
16,1,1
17,3,3
18,3,3
19,2,2
20,1,1
21,3,3
22,1,1
23,2,2
24,3,3
25,3,3
26,1,1
27,3,3
28,3,3
29,2,2
30,3,3
31,2,2
32,3,3
33,1,1
34,3,3
35,3,3
36,3,3
37,3,3
38,1,1
39,2,2
40,3,3
41,2,2
42,3,3
43,3,3
44,0,0
45,2,2
46,3,3
47,3,3
48,3,3
49,1,1
50,3,3
51,3,3
52,1,1
53,2,2
54,3,3
55,3,3
56,3,3
57,3,3
58,3,3
59,2,2
60,1,1
61,3,3
62,3,3
63,1,1
64,0,0
65,2,2
66,1,1
67,3,3
68,2,2
69,3,3
70,0,0
71,3,3
72,3,3
73,3,3
74,1,1
75,3,3
76,0,0
77,1,1
78,3,3
79,3,3
80,1,1
81,3,3
82,1,1
83,3,3
84,2,2
85,2,2
86,2,2
87,1,1
88,3,3
89,3,3
90,3,3
91,3,3
92,3,3
93,2,2
94,2,2
95,3,3
96,3,3
97,3,3
98,2,2
99,2,2
100,1,1
101,1,1
102,2,2
103,3,3
104,2,2
105,3,3
106,3,3
107,3,3
108,2,2
109,3,3
110,3,3
111,3,3
112,2,2
113,3,3
114,3,3
115,3,3
116,3,3
117,3,3
118,3,3
119,3,3
120,3,3
121,3,3
122,3,3
123,3,3
124,3,3
125,0,0
126,3,3
127,2,2
128,3,3
129,3,3
130,3,3
131,2,2
132,2,2
133,3,3
134,3,3
135,3,3
136,3,3
137,3,3
138,2,2
139,3,3
140,0,0
141,3,3
142,0,0
143,0,0
144,3,3
145,3,3
146,3,3
147,3,3
148,2,2
149,2,2
150,2,2
151,3,3
152,3,3
153,3,3
154,1,1
155,1,1
156,3,3
157,3,3
158,0,0
159,3,3
160,3,3
161,1,1
162,3,3
163,3,3
164,3,3
165,3,3
166,3,3
167,3,3
168,3,3
169,2,2
170,3,3
171,1,1
172,3,3
173,1,1
174,1,1
175,3,3
176,3,3
177,1,1
178,1,1
179,1,1
180,3,3
181,1,1
182,2,2
183,3,3
184,3,3
185,3,3
186,3,3
187,0,0
188,1,1
189,2,2
190,3,3
191,3,3
192,3,3
193,1,1
194,2,2
195,3,3
196,3,3
197,1,1
198,0,0
199,3,3
200,1,1
201,3,3
202,3,3
203,3,3
204,2,2
205,3,3
206,2,2
207,3,3
208,3,3
209,3,3
210,3,3
211,3,3
212,3,3
