NAME,AGE_GROUP,CERT_GBN
1,3,3
2,3,3
3,2,2
4,3,3
5,3,3
6,1,1
7,3,3
8,3,3
9,3,3
10,1,1
11,2,2
12,3,3
13,3,3
14,0,0
15,3,3
16,1,1
17,0,0
18,3,3
19,3,3
20,3,3
21,2,2
22,3,3
23,2,2
24,3,3
25,3,3
26,2,2
27,3,3
28,3,3
29,2,2
30,3,3
31,3,3
32,3,3
33,1,1
34,3,3
35,3,3
36,1,1
37,3,3
38,2,2
39,2,2
40,3,3
41,3,3
42,3,3
43,3,3
44,1,1
45,1,1
46,3,3
47,3,3
48,3,3
49,2,2
50,3,3
51,3,3
52,1,1
53,3,3
54,3,3
55,2,2
56,3,3
57,3,3
58,3,3
59,1,1
60,1,1
61,3,3
62,3,3
63,1,1
64,1,1
65,1,1
66,2,2
67,3,3
68,3,3
69,3,3
70,1,1
71,3,3
72,3,3
73,3,3
74,3,3
75,3,3
76,0,0
77,3,3
78,0,0
79,3,3
80,2,2
81,3,3
82,3,3
83,3,3
84,0,0
85,3,3
86,3,3
87,2,2
88,3,3
89,3,3
90,3,3
91,3,3
92,3,3
93,2,2
94,2,2
95,3,3
96,3,3
97,3,3
98,3,3
99,3,3
100,1,1
101,3,3
102,3,3
103,3,3
104,1,1
105,3,3
106,3,3
107,3,3
108,3,3
109,3,3
110,3,3
111,3,3
112,2,2
113,3,3
114,3,3
115,3,3
116,3,3
117,3,3
118,3,3
119,3,3
120,3,3
121,3,3
122,3,3
123,3,3
124,3,3
125,1,1
126,3,3
127,3,3
128,3,3
129,3,3
130,3,3
131,3,3
132,3,3
133,3,3
134,2,2
135,3,3
136,3,3
137,3,3
138,1,1
139,3,3
140,1,1
141,3,3
142,1,1
143,1,1
144,3,3
145,2,2
146,3,3
147,3,3
148,2,2
149,1,1
150,2,2
151,3,3
152,3,3
153,3,3
154,1,1
155,2,2
156,3,3
157,1,1
158,0,0
159,3,3
160,3,3
161,3,3
162,3,3
163,2,2
164,3,3
165,3,3
166,3,3
167,3,3
168,3,3
169,3,3
170,3,3
171,1,1
172,2,2
173,1,1
174,2,2
175,3,3
176,3,3
177,1,1
178,1,1
179,1,1
180,3,3
181,1,1
182,2,2
183,3,3
184,3,3
185,3,3
186,3,3
187,3,3
188,1,1
189,3,3
190,3,3
191,3,3
192,3,3
193,2,2
194,2,2
195,3,3
196,0,0
197,3,3
198,1,1
199,3,3
200,3,3
201,3,3
202,3,3
203,3,3
204,3,3
205,3,3
206,3,3
207,3,3
208,3,3
209,3,3
210,3,3
211,3,3
212,3,3
