NAME,AGE_GROUP,CERT_GBN
1,3,3
2,2,2
3,2,2
4,3,3
5,3,3
6,3,3
7,3,3
8,3,3
9,3,3
10,3,3
11,2,2
12,2,2
13,3,3
14,0,0
15,2,2
16,0,0
17,1,1
18,3,3
19,3,3
20,3,3
21,2,2
22,2,2
23,2,2
24,3,3
25,3,3
26,2,2
27,3,3
28,3,3
29,2,2
30,3,3
31,2,2
32,3,3
33,2,2
34,3,3
35,3,3
36,1,1
37,3,3
38,1,1
39,2,2
40,3,3
41,3,3
42,2,2
43,3,3
44,0,0
45,1,1
46,3,3
47,3,3
48,3,3
49,1,1
50,3,3
51,2,2
52,2,2
53,3,3
54,3,3
55,2,2
56,3,3
57,3,3
58,3,3
59,2,2
60,0,0
61,3,3
62,3,3
63,1,1
64,0,0
65,1,1
66,1,1
67,3,3
68,2,2
69,3,3
70,1,1
71,3,3
72,3,3
73,3,3
74,3,3
75,3,3
76,0,0
77,1,1
78,0,0
79,3,3
80,1,1
81,3,3
82,2,2
83,3,3
84,2,2
85,2,2
86,3,3
87,1,1
88,3,3
89,3,3
90,3,3
91,3,3
92,3,3
93,2,2
94,2,2
95,3,3
96,3,3
97,3,3
98,2,2
99,3,3
100,1,1
101,3,3
102,2,2
103,3,3
104,1,1
105,3,3
106,3,3
107,2,2
108,3,3
109,3,3
110,3,3
111,3,3
112,3,3
113,3,3
114,3,3
115,3,3
116,3,3
117,3,3
118,3,3
119,3,3
120,3,3
121,3,3
122,3,3
123,3,3
124,3,3
125,1,1
126,3,3
127,2,2
128,2,2
129,3,3
130,3,3
131,2,2
132,3,3
133,3,3
134,2,2
135,3,3
136,3,3
137,3,3
138,1,1
139,3,3
140,1,1
141,3,3
142,0,0
143,1,1
144,3,3
145,2,2
146,3,3
147,3,3
148,2,2
149,2,2
150,2,2
151,3,3
152,3,3
153,3,3
154,2,2
155,1,1
156,3,3
157,0,0
158,0,0
159,1,1
160,3,3
161,3,3
162,3,3
163,1,1
164,3,3
165,2,2
166,3,3
167,3,3
168,3,3
169,2,2
170,3,3
171,1,1
172,2,2
173,1,1
174,1,1
175,3,3
176,3,3
177,0,0
178,1,1
179,1,1
180,3,3
181,2,2
182,2,2
183,3,3
184,3,3
185,3,3
186,3,3
187,3,3
188,1,1
189,1,1
190,3,3
191,3,3
192,3,3
193,2,2
194,2,2
195,3,3
196,2,2
197,3,3
198,0,0
199,3,3
200,1,1
201,3,3
202,3,3
203,3,3
204,3,3
205,2,2
206,3,3
207,3,3
208,3,3
209,3,3
210,3,3
211,1,1
212,3,3
213,3,3
214,3,3
215,3,3
216,3,3
217,3,3
218,2,2
219,3,3
220,3,3
221,3,3
222,1,1
223,3,3
224,2,2
225,2,2
226,3,3
227,3,3
228,1,1
229,1,1
230,1,1
231,3,3
232,1,1
233,2,2
234,3,3
235,3,3
236,1,1
237,3,3
238,3,3
239,2,2
